id,date,description,likes_qty,comments_qty,shared_qty,saved_qty,profile_visits,reach_qty,not_following_percentage,impression_profile,impression_home,impression_hashtags,impression_other,new_followers
39,2021-02-13,"Let's continue with the data structures series! Today I will give you a summary about stacks

-

🇺🇸🇬🇧

A stack is very easy to understand but not as popular as lists or arrays

It consists in piling up elements one over the other

It is THE example for LIFO structures

I hope this can help you understand them!

-

Una pila es muy fácil de entender pero no tan populares como las listas y arreglos

Consiste en apilar elementos uno arriba del otro

Es el ejemplo por excelencia para estructuras LIFO

Espero que esto te ayude a entenderlas

🇦🇷🇪🇸",39,1,0,7,3,207,0.26,16,169,43,3,0
40,2021-02-15,"Third challenge: DONE ✅. This an interesting solo game. I have to admit I play it from time to time when I have no access to the internet. I had some questions about what this game was. I hope the videos of the winning and losing games can help you understand it

-

🇺🇸🇬🇧

Mastermind is a funny little game that I have played a lot before

Sometimes I played it on paper against a friend

The one that gets the others number first, wins

In this project you are not against anybody but you have a limited number of tries

Please send me a DM if you need any help!

-

🇦🇷🇪🇸

Mastermind es un jueguito divertido que jugué demasiado

Alguna vez lo jugué en papel con un amigo

El que adivina el número del otro primero gana

En este proyecto no jugás contra nadie pero tenés un número limitado de intentos

Podés mandarme un DM si necesitás ayuda!",35,1,0,7,4,194,0.26,17,165,43,1,0
41,2021-02-19,"Good old Java for today. I hope you have your knowledge about class extension ready, because you are going to need it. Let's see if you can manage to solve this one!",25,0,0,2,1,143,0.19,18,136,18,3,0
42,2021-02-20,"Foto del perfil de codingroute
codingroute
🇺🇸🇬🇧

Probably every log in process has a key exchange involved. Two guys, Whitfield Diffie and Martin Hellman, created a method back in 1976 to securely exchange keys between computers. I hope you can understand the basics of the method with this post. Please DM me if you have any questions about it!

-

🇦🇷🇪🇸

Probablemente cada proceso para iniciar sesión tiene un intercambio de llaves. Dos personas, Whitfield Diffie y Martin Hellman, crearon un método allá por 1976 para intercambiar llaves entre computadoras de forma segura. Espero que puedas entender la idea general de como funciona el metodo con esta publicación. Por favor mandame un mensaje si tenés alguna pregunta sobre esto!",31,3,0,12,4,178,0.08,19,194,7,1,0
43,2021-02-21,"Let's continue with the data structures series! Today I will give you a summary about queues

-

🇺🇸🇬🇧

A queue is a structure that is very similar to a stack

I even took the liberty to make this post very similar to the stack post

It consists in puting elements one behind the other

Like in a supermarket line

It is THE example for FIFO structures

I hope this can help you understand them!

-

🇦🇷🇪🇸

Una cola es una estructura muy similar a una pila

Me tomé la libertad de hacer esta publicacion muy similar a la de la pila

Consiste en poner elementos uno detrás del otro

Como en una fila de supermercado

Es el ejemplo por excelencia para estructuras FIFO

Espero que esto te ayude a entenderlas",33,1,0,10,9,199,0.21,22,187,29,1,2
44,2021-02-24,"🇺🇸🇬🇧

It is hard for me to imagine a world without Google

I mean, even Oxford recognizes the verb ""to google"" as an english word

A search engine, a web browser, an OS, a cloud storage, a map, online advertisments

Google is part of all of that and much more

-

🇦🇷🇪🇸

Es difícil pensar en un mundo sin Google

Hasta Oxford reconoce el verbo ""googlear"" en inglés

Un motor de búsqueda, un navegador web, un sistema operativo, almacenamiento en la nube, un mapa, publicidad online

Google es parte de todo eso y mucho más
",20,2,0,3,1,179,0.22,29,153,25,1,0
45,2021-02-25,"It has been a while since I posted a challenge in C. I have decided to make this challenge a bit more difficult than the last few. I hope you learn a bit about C while solving it.

Hint: 8",25,5,0,2,5,209,0.22,27,180,35,1,0
46,2021-03-02,"🇺🇸🇬🇧

In programming you may want to measure how efficient is your code

Optimizations in your code can make the same task in half the time

When working with huge ammounts of data this can save hours of your time

The big O notation can help you measure how efficient is your program

The bigger the input of your program, the more noticeable this will be

-

🇦🇷🇪🇸

En programación podés querer medir que tan eficiente es tu código

Optimizaciones en tu código pueden hacer la misma tarea en la mitad del tiempo

Cuando trabajas con una cantidad enorme de datos, esto te puede ahorrar horas de tu tiempo

La notación de la O grande puede ayudarte a medir que tan eficiente es tu programa

Mientras más grande es la entrada de tu programa, más vas a notar esto",29,0,0,7,1,219,0.27,22,176,47,2,0
47,2021-03-03,"🇺🇸🇬🇧

Google have some advanced search tools that not everybody know about

This can help you A LOT to find what are you looking for

By far, the exact match and the exclude tools are the ones that I use the most

Which ones did you know? Which ones will you start using?

-

🇦🇷🇪🇸

Google tiene herramientas avanzadas de búsqueda que no todo el mundo conoce

Esto puede ayudarte MUCHO a encontrar lo que estás buscando

Por mucho, la búsqueda exacta y excluir palabras, son las herramientas que más uso

Cuales conocías? Cuales vas a empezar a usar?
",37,3,1,16,2,264,0.31,33,204,58,5,1
48,2021-03-04,"ow is your knowledge on macros? Let's find out! (I did not include the stdio.h line, but assume it is there)

Did you get the answer from the previous post right?",22,5,0,4,1,174,0.2,27,159,17,3,0
49,2021-03-05,"🇺🇸🇬🇧

It is no news to anybody that the most popular browsers are free to use

But how do they still exist if the users do not pay money?

That is the key

USERS do not pay money, but that does not mean that nobody does

Search engines, company for ads, and even other products can make browsers profitable

The value that a browser has, is being an endpoint to their users

The more users a browser have the more valuable it is

-

🇦🇷🇪🇸

No es ninguna noticia que los navegadores más populares son gratis

Pero como existen si los usuarios no pagan nada?

Esa es la clave

Los USUARIOS no pagan nada, pero no significa que nadie lo hace

Motores de búsqueda, empresas por publicidades y hasta otros productos pueden hacer a un navegador rentable

El valor de los navegadores es ser un punto de contacto con sus usuarios

Mientras más usuarios tenga el navegador, más valioso será",37,11,0,4,3,243,0.39,19,166,84,4,0
50,2021-03-06,"🇺🇸🇬🇧

Vigenère cipher is an encryption method

It was considered as 'the indecipherable cipher' for 3 centuries

It is pretty simple to implement too

However, in 1863, Kasiski invented a method to crack the code without knowing the key using statistics

I hope you have fun with it!

-

🇦🇷🇪🇸

El cifrado Vigenère es un método de encriptación

Fue considerado como 'el cifrado indescifrable' por 3 siglos

Es bastante simple de implementar también

Sin embargo, en 1863, Kasiski inventó un método para descifrarlo sin saber la clave, usando estadísticas

Espero que te diviertas con eso!
",18,2,0,4,4,159,0.23,27,136,20,4,0
53,2021-03-10,"🇺🇸🇬🇧

Do not stay out of the loop!

Learn about bitcoin, by far the most trending topic about technology this couple of years

Why is bitcoin becoming a thing?

Well, it offers a lot of things that countries currencies do not offer

Like not depending in a centralized institution (that therefore has a lot of power)

It is very difficult to have corruption with bitcoin as every transaction is public

But if you do not share your address, it is unknown to the rest of the world, so it is pseudo-anonymous

Do you think bitcoin will be a global currency in the future?

-

🇦🇷🇪🇸

No te quedes afuera!

Aprendé sobre bitcoin, por lejos LA tendencia tecnológica de estos últimos años

Por qué bitcoin se está volviendo importante?

Bueno, ofrece muchas cosas que las monedas de los países no ofrecen

Como no depender de una institución centralizada (que por lo tanto tiene mucho poder)

Es muy dificil de tener corrupción al tener todas las transacciones abiertas al público

Pero si no compartís tu dirección, es desconocida para el resto del mundo, asi que es pseudo-anónimo

Crees que bitcoin será la moneda mundial en el futuro?
",20,2,1,8,9,247,0.36,32,182,70,7,4
54,2021-03-11,"Let's take a break, have fun with this switch-case statements, read carefully and share your answer!",25,6,1,2,1,198,0.24,24,170,30,8,0
55,2021-03-16,"🇺🇸🇬🇧

URLs are everywhere

But do you know how much information they actually contain?

Some parts are optional

Some other parts have a default if they are omitted

But every part of the URL is telling information about the page

-

🇦🇷🇪🇸

Las URLs están en todos lados

Pero sabías cuánta información tienen realmente?

Algunas partes son opcionales

Otras partes tienen un valor por defecto si son omitidas

Pero cada parte de la URL contiene información sobre la página",24,0,1,9,3,162,0.17,18,149,15,3,0
56,2021-03-17,"🇺🇸🇬🇧

Every programmer should know what frameworks are

And which one to use in each scenario

Frameworks help you make higher quality applications in less time

There lots of frameworks out there

Just look for what you want to do and in which language, and see which frameworks fits with that

-

🇦🇷🇪🇸

Todo programador debería saber que es un framework (o entorno de trabajo)

Y en que caso usar cada uno

Los frameworks te ayudan a hacer código de mejor calidad en menos tiempo

Hay muchos frameworks por ahí

Solo tenés que buscar que querés hacer y en qué lenguaje, y fijarte que framework encaja con eso
",33,5,2,9,3,202,0.32,21,148,47,7,3
57,2021-03-18,"Well well well, some of you answered last one correctly, how about this one? Do you know how unions work? 😉",18,0,0,3,3,166,0.25,27,150,26,2,0
58,2021-03-22,"🇺🇸🇬🇧

The OSI model is very important to know when you are working in networks and connections

It was standarized in 1984 by ISO and the CCITT (now ITU-T)

Later on, TCP/IP will take over based on the OSI model but with less layers with more responsabilities

Some argue OSI is no longer relevant

I think is very important as it marked communications at its time and many products came using it as a standard

-

🇦🇷🇪🇸

El modelo OSI es muy importante para saber cuando trabajas con redes y conexiones

Se estandarizó en 1984 por ISO y CCITT (ahora ITU-T)

Más tarde, TCP/IP va a dominar basado en el modelo OSI pero con menos capas con más responsabilidades

Algunos discuten que OSI no es relevante hoy

Sin embargo, yo creo que es importante porque marcó las comunicaciones en su tiempo y muchos productos salieron utilizandolo como estandar
",24,0,0,8,1,181,0.24,29,160,25,2,0
59,2021-03-25,"🇺🇸🇬🇧

I have mentioned TDD before in some other post and you may have wondered what that is

Well, to start with TDD stands for Test Driven Development

It makes you create the tests before developing the code

This is the opposite way that is done in the traditional way

And it push you towards actually making a nice quantity of tests that ensures your code works

It is a way less likely your code has an unexpected bug while doing

-

🇦🇷🇪🇸

Mencioné TDD en alguna publicación pasada y podrías haberte preguntado de que se trataba

Bueno, para empezar, TDD significa desarrollo guiado por pruebas (por sus siglas en inglés)

Te hace armar las pruebas antes que desarrollar el código

Esto es lo contrario a lo que se hace tradicionalmente

Y también to obliga a tener una buena cantidad de pruebas que te aseguren que tu código funciona

Es mucho menos probable encontrar un error inesperado en tu código si hacés esto",20,0,0,10,0,189,0.31,38,156,34,5,0
60,2021-03-26,"Welcome back to Python universe. It has been a while since I post a challenge for something different than C. Today's challenge theme is casting. No, not like wizards casting spells. More like changing the type of the data. 🧙🏻‍♂️",20,0,0,3,4,170,0.32,54,128,22,2,0
61,2021-04-03,"🇺🇸🇬🇧

KISS is a crucial programming principle that everybody should use

It stands for Keep It Simple, Stupid

It is less prone to bugs and even when they appear, is easy to find them and fix them

Remember, good code is readable by humans!

-

🇦🇷🇪🇸

KISS es un principio en programación que todos deberían usar

Significa ""mantenelo simple estupido"" por sus siglas en inglés

Es menos propenso a errores y si aparecen es más fácil de arreglarlos

Acordate, buen código puede ser leído por humanos
",23,2,3,4,1,236,0.31,45,191,44,3,0
